subj,task,attach_site,itemN,rt
16,window,high,16,255.1
16,window,high,17,154.9
16,window,high,18,124.3
16,window,high,19,550.8
16,window,high,20,151.7
16,window,high,21,390.6
16,window,high,22,244
16,window,high,23,304.3
16,window,high,24,243
17,window,low,13,260
17,window,low,14,270
17,window,low,15,241.7
17,window,low,16,331.5
17,window,low,17,283.1
17,window,low,18,264.8
17,window,low,19,369.6
17,window,low,20,326.4
17,window,low,21,324.9
17,window,low,22,271.9
17,window,low,23,753.6
17,window,low,24,354.4
17,window,high,1,222.2
17,window,high,2,259
17,window,high,3,319.9
17,window,high,4,753.6
17,window,high,5,387.7
17,window,high,6,211.5
17,window,high,7,383.7
17,window,high,8,390.5
17,window,high,9,589.1
17,window,high,10,479.7
17,window,high,11,305.8
17,window,high,12,279.6
18,window,low,13,359.4
18,window,low,14,524.7
18,window,low,15,413.4
18,window,low,16,550.4
18,window,low,17,2157.2
18,window,low,18,279.7
18,window,low,19,1521.2
18,window,low,20,367.5
18,window,low,21,720.9
18,window,low,22,415.1
18,window,low,23,305.7
18,window,low,24,1123.1
18,window,high,1,390.3
18,window,high,2,352.4
18,window,high,3,328.2
18,window,high,4,1869.5
18,window,high,5,380.5
18,window,high,6,837.3
18,window,high,7,926
18,window,high,8,489.4
18,window,high,9,868.3
18,window,high,10,2046.9
18,window,high,11,380.2
18,window,high,12,433.7
19,window,low,13,391
19,window,low,14,387.6
19,window,low,15,400.8
19,window,low,16,594.8
19,window,low,17,1550.8
19,window,low,18,693.5
19,window,low,19,982.8
19,window,low,20,483.9
19,window,low,21,585.8
19,window,low,22,374.1
19,window,low,23,1018.8
19,window,low,24,1550.8
19,window,high,1,359.6
19,window,high,2,778
19,window,high,3,371.6
19,window,high,4,794.4
19,window,high,5,1140.7
19,window,high,6,325.7
19,window,high,7,311
19,window,high,8,285.4
19,window,high,9,1013.8
19,window,high,10,374.9
19,window,high,11,1031.7
19,window,high,12,909.5
20,window,low,13,910
20,window,low,14,463
20,window,low,15,380.7
20,window,low,16,479.7
20,window,low,17,836.8
20,window,low,18,319.9
20,window,low,19,344.5
20,window,low,20,489.7
20,window,low,21,481.5
20,window,low,22,266.1
20,window,low,23,444.7
20,window,low,24,359.9
20,window,high,1,355.7
20,window,high,2,729.4
20,window,high,3,454.7
20,window,high,4,402.1
20,window,high,5,401.1
20,window,high,6,344.9
20,window,high,7,636.9
20,window,high,8,375.8
20,window,high,9,910
20,window,high,10,520.4
20,window,high,11,335.1
20,window,high,12,319.9
21,window,low,13,433.1
21,window,low,14,359.6
21,window,low,15,271.1
21,window,low,16,551
21,window,low,17,439.8
21,window,low,18,560.3
21,window,low,19,1084.2
21,window,low,20,380.3
21,window,low,21,1309.8
21,window,low,22,489.7
21,window,low,23,284.8
21,window,low,24,339.4
21,window,high,1,357.8
21,window,high,2,384.2
21,window,high,3,321
